sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
35480258194,2022-01-27T04:53:00Z,81,22,20,39,104,67,0.08540925266903915
35463565625,2022-01-26T05:01:30Z,77,21,20,36,55,67,0.07827260458839407
35450418313,2022-01-25T05:02:00Z,78,19,20,39,46,68,0.07125
35435725242,2022-01-24T04:56:30Z,75,20,20,35,56,68,0.0905292479108635
35425121795,2022-01-23T08:09:00Z,83,22,20,41,84,69,0.09559613319011816
35396465511,2022-01-21T04:44:30Z,70,20,17,33,38,67,0.06910039113428944
35386817302,2022-01-20T08:06:30Z,82,21,22,39,46,68,0.07622298065984073
35371821742,2022-01-19T07:30:30Z,78,21,18,39,75,67,0.06749156355455568
35359690330,2022-01-18T08:28:30Z,81,23,19,39,107,67,0.1047180667433832
35346016346,2022-01-17T08:31:00Z,84,21,23,40,64,69,0.07790697674418605
35333628022,2022-01-16T08:52:30Z,80,21,22,37,70,71,0.06927374301675977
35319168622,2022-01-15T07:36:30Z,64,17,13,34,59,69,0.11785297549591599
35307205924,2022-01-14T08:36:30Z,86,21,23,42,69,70,0.06448087431693988
35296248262,2022-01-13T08:05:00Z,75,21,15,39,61,67,0.08005082592121983
35296248260,2022-01-12T06:44:30Z,72,16,21,35,33,67,0.0896
35296248259,2022-01-11T08:20:30Z,80,21,21,38,54,67,0.06290115532734275
35296248258,2022-01-10T07:08:00Z,58,14,14,30,26,67,0.09242424242424242
35296248257,2022-01-09T08:33:00Z,76,16,21,39,74,67,0.08303249097472924
35296248256,2022-01-08T09:06:00Z,76,21,14,41,113,66,0.10657370517928287
35199857284,2022-01-06T08:42:30Z,84,22,20,42,100,66,0.08315565031982942
35183644433,2022-01-05T07:59:30Z,72,18,20,34,55,66,0.09078014184397164
35170756201,2022-01-04T09:17:00Z,86,22,21,43,96,69,0.10478128179043744
35156479087,2022-01-03T08:26:00Z,84,21,21,42,67,69,0.07982740021574973
35144698481,2022-01-02T08:58:30Z,82,20,19,43,72,68,0.08779931584948689
35130875857,2022-01-01T08:57:30Z,85,22,18,45,102,66,0.07417840375586854
35118652710,2021-12-31T09:28:30Z,82,22,20,40,104,69,0.09951219512195122
35071294083,2021-12-27T09:13:30Z,78,21,15,42,78,67,0.10214504596527069
35057321822,2021-12-26T09:11:30Z,79,19,20,40,70,69,0.11619047619047619
35046627907,2021-12-25T08:49:30Z,84,21,22,41,65,71,0.09090909090909091
35036276638,2021-12-24T09:31:00Z,81,21,18,42,53,71,0.1074561403508772
35024208672,2021-12-23T09:06:30Z,75,18,18,39,81,71,0.09518477043673013
35012206392,2021-12-22T09:10:00Z,71,19,15,37,67,69,0.10792951541850221
34999842811,2021-12-21T08:55:30Z,79,21,21,37,84,69,0.08610792192881746
34988878771,2021-12-20T09:37:00Z,77,16,19,42,34,69,0.11063372717508056
34977487764,2021-12-19T08:47:30Z,82,21,17,44,82,69,0.13401109057301294
34966977845,2021-12-18T09:07:30Z,79,21,20,38,86,69,0.08865248226950355
34954723796,2021-12-17T09:02:00Z,86,23,20,43,116,69,0.08333333333333333
34942481809,2021-12-16T08:19:00Z,80,20,20,40,64,70,0.0718562874251497
34930168515,2021-12-15T08:53:00Z,83,21,22,40,85,72,0.08518877057115198
34917539986,2021-12-14T09:47:00Z,74,21,16,37,60,71,0.11671087533156499
34910596442,2021-12-13T23:57:30Z,66,18,21,27,32,72,0.1386861313868613
34903049391,2021-12-13T08:41:30Z,81,20,19,42,62,72,0.07324516785350967
34894616379,2021-12-12T07:10:30Z,79,21,22,36,62,75,0.08122503328894808
34853908208,2021-12-09T08:23:30Z,74,21,14,39,102,74,0.12968591691995948
34843642860,2021-12-08T08:41:30Z,73,20,15,38,72,72,0.09684439608269858
34829639659,2021-12-07T07:04:30Z,77,21,19,37,93,72,0.10757409440175632
34817547063,2021-12-06T07:58:00Z,83,21,16,46,75,71,0.09536307961504811
34801437504,2021-12-05T07:26:00Z,82,21,19,42,82,71,0.09823182711198428
34791809626,2021-12-04T07:14:30Z,76,18,17,41,78,71,0.10069790628115653
34785005090,2021-12-03T07:18:00Z,86,22,20,44,96,74,0.10517666392769104
34785005089,2021-11-30T07:33:00Z,86,22,20,44,97,74,0.1031390134529148
34728751732,2021-11-29T06:56:30Z,68,17,16,35,98,73,0.11902113459399333
34708310433,2021-11-27T19:50:00Z,75,18,23,34,28,74,0.05788423153692615
34701150096,2021-11-27T02:36:00Z,64,15,20,29,26,74,0.10432569974554708
34693350120,2021-11-26T08:54:00Z,66,20,14,32,57,73,0.09605488850771869
34687742767,2021-11-26T01:37:30Z,65,21,13,31,53,73,0.06017699115044248
34670269098,2021-11-24T04:24:30Z,49,14,16,19,27,70,0.14628297362110312
34670269097,2021-11-23T09:04:30Z,72,20,13,39,55,69,0.1473170731707317
34670269096,2021-11-22T08:48:00Z,76,19,17,40,83,69,0.11044776119402985
34670269095,2021-11-21T10:03:30Z,79,22,18,39,91,69,0.13346418056918546
34670269094,2021-11-20T08:43:30Z,81,21,17,43,129,68,0.11443298969072165
34670269092,2021-11-19T09:01:30Z,81,21,19,41,111,68,0.10829268292682927
34670269091,2021-11-18T09:08:30Z,76,20,16,40,74,68,0.10854947166186359
34502356379,2021-11-11T07:36:30Z,82,22,22,38,98,70,0.09965635738831616
34491104539,2021-11-10T08:08:00Z,82,17,23,42,81,73,0.08762322015334063
34478400041,2021-11-09T08:36:30Z,61,17,19,25,39,72,0.09719626168224299
34469807277,2021-11-08T07:47:30Z,76,21,13,42,105,67,0.10601427115188583
34469807276,2021-11-07T05:16:30Z,69,17,19,33,37,66,0.06352087114337568
34469807274,2021-11-06T05:31:00Z,76,21,20,35,59,66,0.05898491083676269
34469807273,2021-11-05T05:03:30Z,73,18,19,36,40,66,0.09152086137281291
34469807271,2021-11-04T04:57:00Z,73,20,20,33,75,66,0.08925869894099848
34469807269,2021-11-03T05:46:00Z,78,21,20,37,79,66,0.1034928848641656
34305583331,2021-10-26T04:58:30Z,71,20,16,35,89,72,0.10593713620488941
34305583330,2021-10-25T04:59:00Z,83,22,21,40,90,72,0.09187279151943463
34305583329,2021-10-24T05:04:30Z,83,24,17,42,129,70,0.06510138740661686
34305583328,2021-10-22T05:38:30Z,69,20,19,30,40,70,0.1263318112633181
34305583327,2021-10-21T07:29:00Z,78,21,18,39,59,70,0.10852713178294573
34305583326,2021-10-20T06:16:00Z,74,16,21,37,61,70,0.06109725685785536
34208734459,2021-10-18T06:36:30Z,84,21,22,41,51,69,0.09735449735449736
34195770009,2021-10-17T06:49:30Z,82,22,22,38,96,72,0.08211473565804274
34183251790,2021-10-16T06:58:30Z,80,21,22,37,46,73,0.08568207440811725
34183251789,2021-10-15T07:46:30Z,75,20,22,33,50,73,0.08322496749024708
34156749536,2021-10-14T07:06:00Z,79,18,21,40,108,75,0.08915906788247213
