,Date,steps,day_of_week,Path
140,2021-05-21,8567,Friday,1
141,2021-05-22,4535,Saturday,1
142,2021-05-23,8512,Sunday,1
143,2021-05-24,1431,Monday,1
144,2021-05-25,8179,Tuesday,1
145,2021-05-26,10281,Wednesday,1
146,2021-05-27,9388,Thursday,1
147,2021-05-28,18898,Friday,1
148,2021-05-29,8672,Saturday,1
149,2021-05-30,11600,Sunday,1
150,2021-05-31,6391,Monday,1
151,2021-06-01,7626,Tuesday,1
152,2021-06-02,11631,Wednesday,1
153,2021-06-03,8671,Thursday,1
154,2021-06-04,4028,Friday,1
155,2021-06-05,7686,Saturday,1
156,2021-06-06,6968,Sunday,1
157,2021-06-07,12477,Monday,1
158,2021-06-08,5330,Tuesday,1
159,2021-06-09,1535,Wednesday,1
160,2021-06-10,4047,Thursday,1
161,2021-06-11,5416,Friday,1
162,2021-06-12,5873,Saturday,1
163,2021-06-13,2723,Sunday,1
164,2021-06-14,5904,Monday,1
165,2021-06-15,7674,Tuesday,1
166,2021-06-16,2527,Wednesday,1
167,2021-06-17,2322,Thursday,1
168,2021-06-18,2701,Friday,1
169,2021-06-19,2808,Saturday,1
170,2021-06-20,1726,Sunday,1
171,2021-06-21,3597,Monday,1
172,2021-06-22,4629,Tuesday,1
173,2021-06-23,1930,Wednesday,1
174,2021-06-24,1468,Thursday,1
175,2021-06-25,1981,Friday,1
176,2021-06-26,2524,Saturday,1
177,2021-06-27,2494,Sunday,1
178,2021-06-28,3383,Monday,1
179,2021-06-29,3604,Tuesday,1
180,2021-06-30,4865,Wednesday,1
181,2021-07-01,2779,Thursday,1
182,2021-07-02,5262,Friday,1
183,2021-07-03,6759,Saturday,1
184,2021-07-04,2043,Sunday,1
185,2021-07-05,3276,Monday,1
186,2021-07-06,1685,Tuesday,1
187,2021-07-07,2214,Wednesday,1
188,2021-07-08,2160,Thursday,1
189,2021-07-09,2202,Friday,1
190,2021-07-10,863,Saturday,1
191,2021-07-11,869,Sunday,1
192,2021-07-12,1276,Monday,1
193,2021-07-13,976,Tuesday,1
194,2021-07-14,825,Wednesday,1
195,2021-07-15,1395,Thursday,1
196,2021-07-16,186,Friday,1
197,2021-07-17,978,Saturday,1
198,2021-07-18,2340,Sunday,1
199,2021-07-19,5009,Monday,1
200,2021-07-20,6146,Tuesday,1
201,2021-07-21,3159,Wednesday,1
202,2021-07-22,6361,Thursday,1
203,2021-07-23,5114,Friday,1
204,2021-07-24,10357,Saturday,1
205,2021-07-25,8107,Sunday,1
206,2021-07-26,8896,Monday,1
207,2021-07-27,6688,Tuesday,1
208,2021-07-28,4749,Wednesday,1
209,2021-07-29,5494,Thursday,1
210,2021-07-30,2890,Friday,1
211,2021-07-31,5723,Saturday,1
212,2021-08-01,4203,Sunday,1
213,2021-08-02,9956,Monday,1
214,2021-08-03,11063,Tuesday,1
215,2021-08-04,10866,Wednesday,1
216,2021-08-05,5151,Thursday,1
217,2021-08-06,1836,Friday,1
218,2021-08-07,10864,Saturday,1
219,2021-08-08,7742,Sunday,1
220,2021-08-09,4659,Monday,1
221,2021-08-10,6230,Tuesday,1
222,2021-08-11,3665,Wednesday,1
223,2021-08-12,3523,Thursday,1
224,2021-08-13,5265,Friday,1
225,2021-08-14,11452,Saturday,1
226,2021-08-15,8668,Sunday,1
227,2021-08-16,4263,Monday,1
228,2021-08-17,13468,Tuesday,1
229,2021-08-18,9888,Wednesday,1
230,2021-08-19,2975,Thursday,1
231,2021-08-20,3635,Friday,1
232,2021-08-21,3435,Saturday,1
233,2021-08-22,4245,Sunday,1
234,2021-08-23,2391,Monday,1
235,2021-08-24,1445,Tuesday,1
236,2021-08-25,3338,Wednesday,1
237,2021-08-26,5044,Thursday,1
238,2021-08-27,3293,Friday,1
239,2021-08-28,5015,Saturday,1
240,2021-08-29,4410,Sunday,1
241,2021-08-30,3533,Monday,1
242,2021-08-31,5773,Tuesday,1
243,2021-09-01,8961,Wednesday,1
244,2021-09-02,17199,Thursday,1
245,2021-09-03,7124,Friday,1
246,2021-09-04,5786,Saturday,1
247,2021-09-05,4509,Sunday,1
248,2021-09-06,12214,Monday,1
249,2021-09-07,8183,Tuesday,1
250,2021-09-08,8422,Wednesday,1
251,2021-09-09,3793,Thursday,1
252,2021-09-10,8164,Friday,1
253,2021-09-11,4878,Saturday,1
254,2021-09-12,1260,Sunday,1
255,2021-09-13,4533,Monday,1
256,2021-09-14,3901,Tuesday,1
257,2021-09-15,539,Wednesday,1
258,2021-09-16,4943,Thursday,1
259,2021-09-17,722,Friday,1
260,2021-09-18,4035,Saturday,1
261,2021-09-19,601,Sunday,1
262,2021-09-20,2602,Monday,1
263,2021-09-21,1991,Tuesday,1
264,2021-09-22,3294,Wednesday,1
265,2021-09-23,1444,Thursday,1
266,2021-09-24,2021,Friday,1
267,2021-09-25,2334,Saturday,1
268,2021-09-26,1092,Sunday,1
269,2021-09-27,5265,Monday,1
270,2021-09-28,3659,Tuesday,1
271,2021-09-29,4633,Wednesday,1
272,2021-09-30,1844,Thursday,1
273,2021-10-01,2210,Friday,1
274,2021-10-02,3635,Saturday,1
275,2021-10-03,3079,Sunday,1
276,2021-10-04,4239,Monday,1
277,2021-10-05,3834,Tuesday,1
278,2021-10-06,4390,Wednesday,1
279,2021-10-07,889,Thursday,1
280,2021-10-08,3382,Friday,1
281,2021-10-09,5845,Saturday,1
282,2021-10-10,5872,Sunday,1
283,2021-10-11,5886,Monday,1
284,2021-10-12,4893,Tuesday,1
285,2021-10-13,5776,Wednesday,1
286,2021-10-14,6747,Thursday,1
287,2021-10-15,2712,Friday,1
288,2021-10-16,1909,Saturday,1
289,2021-10-17,3260,Sunday,1
290,2021-10-18,4203,Monday,1
291,2021-10-19,7879,Tuesday,1
292,2021-10-20,5164,Wednesday,1
293,2021-10-21,4003,Thursday,1
294,2021-10-22,8411,Friday,1
295,2021-10-23,12364,Saturday,1
296,2021-10-24,17760,Sunday,1
297,2021-10-25,16755,Monday,1
298,2021-10-26,15390,Tuesday,1
299,2021-10-27,19901,Wednesday,1
300,2021-10-28,8221,Thursday,1
301,2021-10-29,6488,Friday,1
302,2021-10-30,3086,Saturday,1
303,2021-10-31,15238,Sunday,1
304,2021-11-01,6575,Monday,1
305,2021-11-02,4654,Tuesday,1
306,2021-11-03,4328,Wednesday,1
307,2021-11-04,5963,Thursday,1
308,2021-11-05,1503,Friday,1
309,2021-11-06,6559,Saturday,1
310,2021-11-07,18547,Sunday,1
311,2021-11-08,9388,Monday,1
312,2021-11-09,4474,Tuesday,1
313,2021-11-10,4097,Wednesday,1
314,2021-11-11,3934,Thursday,1
315,2021-11-12,3883,Friday,1
316,2021-11-13,5193,Saturday,1
317,2021-11-14,4833,Sunday,1
318,2021-11-15,5122,Monday,1
319,2021-11-16,5399,Tuesday,1
320,2021-11-17,3771,Wednesday,1
321,2021-11-18,2383,Thursday,1
322,2021-11-19,4402,Friday,1
323,2021-11-20,6175,Saturday,1
324,2021-11-21,5310,Sunday,1
325,2021-11-22,6246,Monday,1
326,2021-11-23,5663,Tuesday,1
327,2021-11-24,12635,Wednesday,1
328,2021-11-25,8572,Thursday,1
329,2021-11-26,9806,Friday,1
330,2021-11-27,5864,Saturday,1
331,2021-11-28,8809,Sunday,1
332,2021-11-29,8397,Monday,1
333,2021-11-30,1456,Tuesday,1
334,2021-12-01,3916,Wednesday,1
335,2021-12-02,7023,Thursday,1
336,2021-12-03,5315,Friday,1
337,2021-12-04,3874,Saturday,1
338,2021-12-05,7989,Sunday,1
339,2021-12-06,13379,Monday,1
340,2021-12-07,4148,Tuesday,1
341,2021-12-08,16204,Wednesday,1
342,2021-12-09,13816,Thursday,1
343,2021-12-10,2348,Friday,1
344,2021-12-11,602,Saturday,1
345,2021-12-12,6142,Sunday,1
346,2021-12-13,13244,Monday,1
347,2021-12-14,2241,Tuesday,1
348,2021-12-15,5304,Wednesday,1
349,2021-12-16,6605,Thursday,1
350,2021-12-17,12150,Friday,1
351,2021-12-18,6288,Saturday,1
352,2021-12-19,2054,Sunday,1
353,2021-12-20,3491,Monday,1
354,2021-12-21,6608,Tuesday,1
355,2021-12-22,8862,Wednesday,1
356,2021-12-23,3689,Thursday,1
357,2021-12-24,2194,Friday,1
358,2021-12-25,3379,Saturday,1
359,2021-12-26,3896,Sunday,1
360,2021-12-27,10775,Monday,1
361,2021-12-28,477,Tuesday,1
362,2021-12-29,3916,Wednesday,1
363,2021-12-30,705,Thursday,1
364,2021-12-31,2748,Friday,1
,2021-01-01,3759,Friday,0
,2021-01-02,5606,Saturday,0
,2021-01-03,5079,Sunday,0
,2021-01-04,3236,Monday,0
,2021-01-05,1220,Tuesday,0
,2021-01-06,2653,Wednesday,0
,2021-01-07,3260,Thursday,0
,2021-01-08,3482,Friday,0
,2021-01-09,5825,Saturday,0
,2021-01-10,2840,Sunday,0
,2021-01-11,4135,Monday,0
,2021-01-12,940,Tuesday,0
,2021-01-13,1173,Wednesday,0
,2021-01-14,963,Thursday,0
,2021-01-15,1804,Friday,0
,2021-01-16,2675,Saturday,0
,2021-01-17,1495,Sunday,0
,2021-01-18,2999,Monday,0
,2021-01-19,2112,Tuesday,0
,2021-01-20,3334,Wednesday,0
,2021-01-21,4301,Thursday,0
,2021-01-22,4464,Friday,0
,2021-01-23,2845,Saturday,0
,2021-01-24,2517,Sunday,0
,2021-01-25,2599,Monday,0
,2021-01-26,6377,Tuesday,0
,2021-01-27,4358,Wednesday,0
,2021-01-28,2012,Thursday,0
,2021-01-29,3402,Friday,0
,2021-01-30,2302,Saturday,0
,2021-01-31,5039,Sunday,0
,2021-02-01,8248,Monday,0
,2021-02-02,3150,Tuesday,0
,2021-02-03,5276,Wednesday,0
,2021-02-04,5147,Thursday,0
,2021-02-05,5446,Friday,0
,2021-02-06,5115,Saturday,0
,2021-02-07,7667,Sunday,0
,2021-02-08,3085,Monday,0
,2021-02-09,5885,Tuesday,0
,2021-02-10,3309,Wednesday,0
,2021-02-11,4449,Thursday,0
,2021-02-12,2803,Friday,0
,2021-02-13,1870,Saturday,0
,2021-02-14,3687,Sunday,0
,2021-02-15,3428,Monday,0
,2021-02-16,6406,Tuesday,0
,2021-02-17,7145,Wednesday,0
,2021-02-18,6539,Thursday,0
,2021-02-19,6394,Friday,0
,2021-02-20,5644,Saturday,0
,2021-02-21,7232,Sunday,0
,2021-02-22,3451,Monday,0
,2021-02-23,2416,Tuesday,0
,2021-02-24,5319,Wednesday,0
,2021-02-25,6908,Thursday,0
,2021-02-26,6771,Friday,0
,2021-02-27,9378,Saturday,0
,2021-02-28,5209,Sunday,0
,2021-03-01,8865,Monday,0
,2021-03-02,10860,Tuesday,0
,2021-03-03,2925,Wednesday,0
,2021-03-04,5938,Thursday,0
,2021-03-05,9765,Friday,0
,2021-03-06,3168,Saturday,0
,2021-03-07,9509,Sunday,0
,2021-03-08,2391,Monday,0
,2021-03-09,1760,Tuesday,0
,2021-03-10,6770,Wednesday,0
,2021-03-11,6852,Thursday,0
,2021-03-12,4760,Friday,0
,2021-03-13,2575,Saturday,0
,2021-03-14,2495,Sunday,0
,2021-03-15,3993,Monday,0
,2021-03-16,3382,Tuesday,0
,2021-03-17,4004,Wednesday,0
,2021-03-18,5479,Thursday,0
,2021-03-19,3654,Friday,0
,2021-03-20,4939,Saturday,0
,2021-03-21,5379,Sunday,0
,2021-03-22,5862,Monday,0
,2021-03-23,4618,Tuesday,0
,2021-03-24,4555,Wednesday,0
,2021-03-25,4705,Thursday,0
,2021-03-26,8640,Friday,0
,2021-03-27,9569,Saturday,0
,2021-03-28,8632,Sunday,0
,2021-03-29,2895,Monday,0
,2021-03-30,3812,Tuesday,0
,2021-03-31,8033,Wednesday,0
,2021-04-01,3848,Thursday,0
,2021-04-02,1876,Friday,0
,2021-04-03,1101,Saturday,0
,2021-04-04,1967,Sunday,0
,2021-04-05,1213,Monday,0
,2021-04-06,2243,Tuesday,0
,2021-04-07,3625,Wednesday,0
,2021-04-08,13023,Thursday,0
,2021-04-09,1646,Friday,0
,2021-04-10,6459,Saturday,0
,2021-04-11,2490,Sunday,0
,2021-04-12,7145,Monday,0
,2021-04-13,5528,Tuesday,0
,2021-04-14,5220,Wednesday,0
,2021-04-15,13549,Thursday,0
,2021-04-16,927,Friday,0
,2021-04-17,8556,Saturday,0
,2021-04-18,8575,Sunday,0
,2021-04-19,1290,Monday,0
,2021-04-20,2324,Tuesday,0
,2021-04-21,7949,Wednesday,0
,2021-04-22,8133,Thursday,0
,2021-04-23,5963,Friday,0
,2021-04-24,6318,Saturday,0
,2021-04-25,4679,Sunday,0
,2021-04-26,3380,Monday,0
,2021-04-27,1087,Tuesday,0
,2021-04-28,1118,Wednesday,0
,2021-04-29,2200,Thursday,0
,2021-04-30,2782,Friday,0
,2021-05-01,8428,Saturday,0
,2021-05-02,5586,Sunday,0
,2021-05-03,4388,Monday,0
,2021-05-04,6610,Tuesday,0
,2021-05-05,6075,Wednesday,0
,2021-05-06,4061,Thursday,0
,2021-05-07,11018,Friday,0
,2021-05-08,3402,Saturday,0
,2021-05-09,3661,Sunday,0
,2021-05-10,2315,Monday,0
,2021-05-11,5127,Tuesday,0
,2021-05-12,1492,Wednesday,0
,2021-05-13,7956,Thursday,0
,2021-05-14,1911,Friday,0
,2021-05-15,1222,Saturday,0
,2021-05-16,1463,Sunday,0
,2021-05-17,5960,Monday,0
,2021-05-18,6452,Tuesday,0
,2021-05-19,6455,Wednesday,0
,2021-05-20,9610,Thursday,0
,2021-05-21,8567,Friday,0
,2021-05-22,4535,Saturday,0
,2021-05-23,8512,Sunday,0
,2021-05-24,1431,Monday,0
,2021-05-25,8179,Tuesday,0
,2021-05-26,10281,Wednesday,0
,2021-05-27,9388,Thursday,0
,2021-05-28,18898,Friday,0
,2021-05-29,8672,Saturday,0
,2021-05-30,11600,Sunday,0
,2021-05-31,6391,Monday,0
,2021-06-01,7626,Tuesday,0
,2021-06-02,11631,Wednesday,0
,2021-06-03,8671,Thursday,0
,2021-06-04,4028,Friday,0
,2021-06-05,7686,Saturday,0
,2021-06-06,6968,Sunday,0
,2021-06-07,12477,Monday,0
,2021-06-08,5330,Tuesday,0
,2021-06-09,1535,Wednesday,0
,2021-06-10,4047,Thursday,0
,2021-06-11,5416,Friday,0
,2021-06-12,5873,Saturday,0
,2021-06-13,2723,Sunday,0
,2021-06-14,5904,Monday,0
,2021-06-15,7674,Tuesday,0
,2021-06-16,2527,Wednesday,0
,2021-06-17,2322,Thursday,0
,2021-06-18,2701,Friday,0
,2021-06-19,2808,Saturday,0
,2021-06-20,1726,Sunday,0
,2021-06-21,3597,Monday,0
,2021-06-22,4629,Tuesday,0
,2021-06-23,1930,Wednesday,0
,2021-06-24,1468,Thursday,0
,2021-06-25,1981,Friday,0
,2021-06-26,2524,Saturday,0
,2021-06-27,2494,Sunday,0
,2021-06-28,3383,Monday,0
,2021-06-29,3604,Tuesday,0
,2021-06-30,4865,Wednesday,0
,2021-07-01,2779,Thursday,0
,2021-07-02,5262,Friday,0
,2021-07-03,6759,Saturday,0
,2021-07-04,2043,Sunday,0
,2021-07-05,3276,Monday,0
,2021-07-06,1685,Tuesday,0
,2021-07-07,2214,Wednesday,0
,2021-07-08,2160,Thursday,0
,2021-07-09,2202,Friday,0
,2021-07-10,863,Saturday,0
,2021-07-11,869,Sunday,0
,2021-07-12,1276,Monday,0
,2021-07-13,976,Tuesday,0
,2021-07-14,825,Wednesday,0
,2021-07-15,1395,Thursday,0
,2021-07-16,186,Friday,0
,2021-07-17,978,Saturday,0
,2021-07-18,2340,Sunday,0
,2021-07-19,5009,Monday,0
,2021-07-20,6146,Tuesday,0
,2021-07-21,3159,Wednesday,0
,2021-07-22,6361,Thursday,0
,2021-07-23,5114,Friday,0
,2021-07-24,10357,Saturday,0
,2021-07-25,8107,Sunday,0
,2021-07-26,8896,Monday,0
,2021-07-27,6688,Tuesday,0
,2021-07-28,4749,Wednesday,0
,2021-07-29,5494,Thursday,0
,2021-07-30,2890,Friday,0
,2021-07-31,5723,Saturday,0
,2021-08-01,4203,Sunday,0
,2021-08-02,9956,Monday,0
,2021-08-03,11063,Tuesday,0
,2021-08-04,10866,Wednesday,0
,2021-08-05,5151,Thursday,0
,2021-08-06,1836,Friday,0
,2021-08-07,10864,Saturday,0
,2021-08-08,7742,Sunday,0
,2021-08-09,4659,Monday,0
,2021-08-10,6230,Tuesday,0
,2021-08-11,3665,Wednesday,0
,2021-08-12,3523,Thursday,0
,2021-08-13,5265,Friday,0
,2021-08-14,11452,Saturday,0
,2021-08-15,8668,Sunday,0
,2021-08-16,4263,Monday,0
,2021-08-17,13468,Tuesday,0
,2021-08-18,9888,Wednesday,0
,2021-08-19,2975,Thursday,0
,2021-08-20,3635,Friday,0
,2021-08-21,3435,Saturday,0
,2021-08-22,4245,Sunday,0
,2021-08-23,2391,Monday,0
,2021-08-24,1445,Tuesday,0
,2021-08-25,3338,Wednesday,0
,2021-08-26,5044,Thursday,0
,2021-08-27,3293,Friday,0
,2021-08-28,5015,Saturday,0
,2021-08-29,4410,Sunday,0
,2021-08-30,3533,Monday,0
,2021-08-31,5773,Tuesday,0
,2021-09-01,8961,Wednesday,0
,2021-09-02,17199,Thursday,0
,2021-09-03,7124,Friday,0
,2021-09-04,5786,Saturday,0
,2021-09-05,4509,Sunday,0
,2021-09-06,12214,Monday,0
,2021-09-07,8183,Tuesday,0
,2021-09-08,8422,Wednesday,0
,2021-09-09,3793,Thursday,0
,2021-09-10,8164,Friday,0
,2021-09-11,4878,Saturday,0
,2021-09-12,1260,Sunday,0
,2021-09-13,4533,Monday,0
,2021-09-14,3901,Tuesday,0
,2021-09-15,539,Wednesday,0
,2021-09-16,4943,Thursday,0
,2021-09-17,722,Friday,0
,2021-09-18,4035,Saturday,0
,2021-09-19,601,Sunday,0
,2021-09-20,2602,Monday,0
,2021-09-21,1991,Tuesday,0
,2021-09-22,3294,Wednesday,0
,2021-09-23,1444,Thursday,0
,2021-09-24,2021,Friday,0
,2021-09-25,2334,Saturday,0
,2021-09-26,1092,Sunday,0
,2021-09-27,5265,Monday,0
,2021-09-28,3659,Tuesday,0
,2021-09-29,4633,Wednesday,0
,2021-09-30,1844,Thursday,0
,2021-10-01,2210,Friday,0
,2021-10-02,3635,Saturday,0
,2021-10-03,3079,Sunday,0
,2021-10-04,4239,Monday,0
,2021-10-05,3834,Tuesday,0
,2021-10-06,4390,Wednesday,0
,2021-10-07,889,Thursday,0
,2021-10-08,3382,Friday,0
,2021-10-09,5845,Saturday,0
,2021-10-10,5872,Sunday,0
,2021-10-11,5886,Monday,0
,2021-10-12,4893,Tuesday,0
,2021-10-13,5776,Wednesday,0
,2021-10-14,6747,Thursday,0
,2021-10-15,2712,Friday,0
,2021-10-16,1909,Saturday,0
,2021-10-17,3260,Sunday,0
,2021-10-18,4203,Monday,0
,2021-10-19,7879,Tuesday,0
,2021-10-20,5164,Wednesday,0
,2021-10-21,4003,Thursday,0
,2021-10-22,8411,Friday,0
,2021-10-23,12364,Saturday,0
,2021-10-24,17760,Sunday,0
,2021-10-25,16755,Monday,0
,2021-10-26,15390,Tuesday,0
,2021-10-27,19901,Wednesday,0
,2021-10-28,8221,Thursday,0
,2021-10-29,6488,Friday,0
,2021-10-30,3086,Saturday,0
,2021-10-31,15238,Sunday,0
,2021-11-01,6575,Monday,0
,2021-11-02,4654,Tuesday,0
,2021-11-03,4328,Wednesday,0
,2021-11-04,5963,Thursday,0
,2021-11-05,1503,Friday,0
,2021-11-06,6559,Saturday,0
,2021-11-07,18547,Sunday,0
,2021-11-08,9388,Monday,0
,2021-11-09,4474,Tuesday,0
,2021-11-10,4097,Wednesday,0
,2021-11-11,3934,Thursday,0
,2021-11-12,3883,Friday,0
,2021-11-13,5193,Saturday,0
,2021-11-14,4833,Sunday,0
,2021-11-15,5122,Monday,0
,2021-11-16,5399,Tuesday,0
,2021-11-17,3771,Wednesday,0
,2021-11-18,2383,Thursday,0
,2021-11-19,4402,Friday,0
,2021-11-20,6175,Saturday,0
,2021-11-21,5310,Sunday,0
,2021-11-22,6246,Monday,0
,2021-11-23,5663,Tuesday,0
,2021-11-24,12635,Wednesday,0
,2021-11-25,8572,Thursday,0
,2021-11-26,9806,Friday,0
,2021-11-27,5864,Saturday,0
,2021-11-28,8809,Sunday,0
,2021-11-29,8397,Monday,0
,2021-11-30,1456,Tuesday,0
,2021-12-01,3916,Wednesday,0
,2021-12-02,7023,Thursday,0
,2021-12-03,5315,Friday,0
,2021-12-04,3874,Saturday,0
,2021-12-05,7989,Sunday,0
,2021-12-06,13379,Monday,0
,2021-12-07,4148,Tuesday,0
,2021-12-08,16204,Wednesday,0
,2021-12-09,13816,Thursday,0
,2021-12-10,2348,Friday,0
,2021-12-11,602,Saturday,0
,2021-12-12,6142,Sunday,0
,2021-12-13,13244,Monday,0
,2021-12-14,2241,Tuesday,0
,2021-12-15,5304,Wednesday,0
,2021-12-16,6605,Thursday,0
,2021-12-17,12150,Friday,0
,2021-12-18,6288,Saturday,0
,2021-12-19,2054,Sunday,0
,2021-12-20,3491,Monday,0
,2021-12-21,6608,Tuesday,0
,2021-12-22,8862,Wednesday,0
,2021-12-23,3689,Thursday,0
,2021-12-24,2194,Friday,0
,2021-12-25,3379,Saturday,0
,2021-12-26,3896,Sunday,0
,2021-12-27,10775,Monday,0
,2021-12-28,477,Tuesday,0
,2021-12-29,3916,Wednesday,0
,2021-12-30,705,Thursday,0
,2021-12-31,2748,Friday,0
